GIIRank,HDIRank,Country,GIIValue,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP) in 2019,Expenditure on education(% of government spending),Year,True
1.0,2.0,Switzerland,0.025,11.0,15.53,2016.0,both
2.0,1.0,Norway,0.038,11.0,15.73,2015.0,both
3.0,11.0,Finland,0.039,9.0,12.41,2015.0,both
4.0,8.0,Netherlands,0.043,10.0,12.25,2015.0,both
4.0,10.0,Denmark,0.043,10.0,13.83,2014.0,both
6.0,7.0,Sweden,0.045,11.0,15.5,2015.0,both
6.0,14.0,Belgium,0.045,11.0,12.17,2015.0,both
8.0,26.0,France,0.049,11.0,9.62,2015.0,both
9.0,4.0,Iceland,0.058,9.0,18.16,2015.0,both
10.0,22.0,Slovenia,0.063,9.0,11.22,2015.0,both
12.0,23.0,Luxembourg,0.065,5.0,9.43,2015.0,both
12.0,11.0,Singapore,0.065,4.0,19.96,2013.0,both
14.0,18.0,Austria,0.069,10.0,10.69,2015.0,both
14.0,29.0,Italy,0.069,9.0,8.11,2015.0,both
16.0,25.0,Spain,0.07,9.0,9.77,2015.0,both
17.0,19.0,Japan,0.075,11.0,9.13,2016.0,both
18.0,38.0,Portugal,0.079,10.0,10.15,2015.0,both
20.0,6.0,Germany,0.084,12.0,10.99,2015.0,both
21.0,33.0,Cyprus,0.086,7.0,16.28,2015.0,both
21.0,29.0,Estonia,0.086,7.0,12.97,2015.0,both
23.0,2.0,Ireland,0.093,7.0,13.03,2015.0,both
24.0,14.0,New Zealand,0.094,10.0,16.57,2016.0,both
25.0,8.0,Australia,0.097,10.0,14.08,2015.0,both
26.0,19.0,United Kingdom,0.109,10.0,13.92,2016.0,both
28.0,35.0,Poland,0.115,6.0,11.58,2015.0,both
29.0,43.0,Croatia,0.116,7.0,9.49,2013.0,both
31.0,53.0,Belarus,0.118,6.0,12.28,2017.0,both
33.0,14.0,Israel,0.123,7.0,15.04,2015.0,both
34.0,34.0,Lithuania,0.124,7.0,12.29,2015.0,both
35.0,64.0,Serbia,0.132,9.0,8.69,2016.0,both
36.0,27.0,Czechia,0.136,8.0,13.88,2015.0,both
40.0,28.0,Malta,0.175,8.0,13.15,2015.0,both
41.0,37.0,Latvia,0.176,7.0,14.13,2015.0,both
43.0,45.0,Qatar,0.185,3.0,8.88,2017.0,both
44.0,51.0,Kazakhstan,0.19,3.0,11.42,2017.0,both
45.0,39.0,Slovakia,0.191,7.0,10.28,2015.0,both
48.0,56.0,Bulgaria,0.206,7.0,11.44,2013.0,both
49.0,42.0,Bahrain,0.212,4.0,7.18,2017.0,both
50.0,52.0,Russian Federation,0.225,6.0,10.87,2015.0,both
51.0,40.0,Hungary,0.233,6.0,9.14,2015.0,both
52.0,74.0,Ukraine,0.234,7.0,12.35,2016.0,both
54.0,81.0,Armenia,0.245,11.0,10.2,2016.0,both
55.0,43.0,Chile,0.247,9.0,21.16,2016.0,both
56.0,58.0,Barbados,0.252,6.0,12.88,2017.0,both
59.0,62.0,Malaysia,0.253,4.0,21.06,2017.0,both
61.0,49.0,Romania,0.276,6.0,9.08,2015.0,both
62.0,106.0,Uzbekistan,0.288,6.0,19.96,2017.0,both
65.0,95.0,Tunisia,0.296,7.0,22.9,2015.0,both
65.0,117.0,Viet Nam,0.296,5.0,18.52,2013.0,both
68.0,60.0,Oman,0.306,4.0,15.34,2017.0,both
68.0,54.0,Turkey,0.306,4.0,12.84,2015.0,both
70.0,125.0,Tajikistan,0.314,7.0,16.44,2015.0,both
71.0,99.0,Mongolia,0.322,4.0,13.49,2017.0,both
71.0,74.0,Mexico,0.322,5.0,19.02,2015.0,both
73.0,88.0,Azerbaijan,0.323,4.0,8.2,2016.0,both
75.0,46.0,Argentina,0.328,10.0,13.38,2016.0,both
76.0,61.0,Georgia,0.331,7.0,12.95,2017.0,both
78.0,66.0,Mauritius,0.347,6.0,19.93,2017.0,both
80.0,79.0,Thailand,0.359,4.0,19.13,2013.0,both
81.0,111.0,Samoa,0.36,6.0,10.48,2016.0,both
82.0,95.0,Maldives,0.369,8.0,11.29,2016.0,both
82.0,120.0,Kyrgyzstan,0.369,4.0,18.64,2017.0,both
